messages,message_type
আপনি ১০০০০০ টাকা জিতেছেন। টাকা তুলতে প্রদত্ত নাম্বারে যোগাযোগ করুন। ,স্প্যাম
ফ্রি কফি পেতে চাইলে চলে আসুন আমাদের আউটলেটে ,স্প্যাম
আপনার পরীক্ষা আগামী ৫ তারিখ বনানী বিদ্যা নিকেতনে অনুষ্ঠিত হবে,হ্যাম
আপনি বায়োমেত্রিক রেজিস্ট্রেশন না করে থাকলে আজই চলে আসুন আমাদের কাস্টমার কেয়ারে,হ্যাম
মজার মজার জোকস শুনতে কল করুন ০১০০০০০০ নাম্বারে,স্প্যাম
প্রিয় মনিকা আপনি আজ ১৫ লক্ষ টাকার লটারি জিতেছেন।,স্প্যাম
আপনার বিকাশ একাউন্টটি বন্ধ করে দেয়া হবে অনুগ্রহপূর্বক বিকাশ একাউন্টটির পাসওয়ার্ড লিখে মেসেজ পাঠান এই নাম্বারটিতে।,স্প্যাম
বেইলি রোডের তঁাতের শাড়ি কুটিরে চলছে আকর্ষণীয় ডিসকাউন্ট।,হ্যাম
আমাদের ফেইসবুক অনলাইন ড্রেস গ্রুপে থাকার জন্য আপনাকে ধন্যবাদ।,হ্যাম
ফেইসবুক অহনা ড্রেস সেলস গ্রুপ থেকে ড্রেস অর্ডার করতে অগ্রিম ১৫০০ টাকা বিকাশ করুন ০১১১৭৮৩৭৫ নাম্বারে।,স্প্যাম
ইসলামী ব্যাংক এর মগবাজার শাখায় আপনার একাউন্ট এ টাকা উঠনো হয়েছে। একাউন্ট সিকিউর করতে একাউন্ট নাম্বার লিখে পাঠান এই নাম্বারে।,স্প্যাম
রোজা উপলক্ষে ইসলামী ব্যাংকে ইফতারের আয়োজন করা হয়েছে।,হ্যাম
মীনা বাজারে চলছে আকর্ষণীয় ডিসকাউন্ট অফার।,হ্যাম
মীনা বাজারে ২৬০ টাকার দেশী মুরগি ১২০ টাকায় পেতে অগ্রিম বিকাশ করুন ০১২৬৫৩৮৩ নাম্বারে।,স্প্যাম
আপনার বিকাশ একাউন্টের পাসওয়ার্ড বদলানো হয়েছে আপনার পূর্বের পাসওয়ার্ডটি লিখে মেসেজ করুন এই নাম্বারে।,স্প্যাম
সিএসসি৪৭৫ এর ক্লাসরুম ৩৩৭ থেকে ৪২৩ এ রুপান্তরিত হয়েছে।,হ্যাম
০১৬৫২৭২৫ নাম্বারে আপনার ইমেইল আর মোবাইল নাম্বার পাঠালেই পেয়ে যাচ্ছেন আকর্ষণীয় ১৬জিবি পেনড্রাইভ আর ১০০ টাকার রিচার্জ।,স্প্যাম
আপনার একাউন্টে ১৭ কোটি টাকা ট্রান্সফার করা হয়েছে। আপনি মেসেজটি পেয়েছেন এটি কনফার্ম করতে ইমেইল এড্রেস পাঠান এই নাম্বারে।,স্প্যাম
অনেকদিন অব্যবহৃত একাউন্ট থাকায় আপনার একাউন্টটি বন্ধ হয়ে যেতে পারে। পরিচিতি নিশ্চিত করতে ব্যাংকে এসে ফর্ম পূরণ করুন।,হ্যাম
কাল এসাইনমেন্ট নিয়ে বসি চল অনেক পড়া।,হ্যাম
কাল ক্লাস করবা সিএসসি৪৯৮?,হ্যাম
বাংলা আমার মাতৃভাষা।,হ্যাম
বাংলা ভাষায় দক্ষ হয়ে উঠতে  বাংকা একাডেমি তে এডমিট হোন।,হ্যাম
নিকটস্থ  বাংলা একডেমি তে আপনার ভর্তি ফ্রী তেই করানো হয়েছে।,স্প্যাম
ভোটার আইডি কার্ড না বানিয়ে থাকলে চলে আসুন নিকটস্থ কেন্দ্র।,হ্যাম
খুম কম সময়ে ভোটার আইডি কার্ড বানাতে টাকা পাঠান এই নাম্বারে।,স্প্যাম
সল্পমূল্লে বই কিনতে চলে আসুন বইসংগ্রহ আউটলেটে।,হ্যাম
"থিসিস" নিয়ে প্যারা খাচ্ছেন? রকেটে অগ্রিম ১০০০ টাকা পাঠিয়ে ১ সপ্তাহে শিখে ফেলুন থিসিস ওয়ার্ক।,স্প্যাম
"থিসিস" নিয়ে প্যারা খাচ্ছেন? ১ সপ্তাহে শিখে ফেলুন থিসিস ওয়ার্ক ভার্সিটি আইডি নিয়ে ফর্ম ফিলাপ করতে আসুন আমাদের কাছে।,হ্যাম
প্রতারক হতে সাবধান। পরিচিতি নিশ্চিত না হয়ে বিকাশ পাসওয়ার্ড কাউকে মেসেজ করবেন না।,হ্যাম
এই নিয়ে দ্বিতীয় বার আমরা আপনার সাথে কন্টেক্ট করার চেষ্টা করছি। ২টার সময় গুলশান-১ এ এসে টাকা নিয়ে যাবেন।,স্প্যাম
দোস্ত কাল টাকা আনিস।,হ্যাম
টকটাইম আর ইন্টারনেট ফ্রী পেতে আপনার ইমেইল আর ফেসবুক আইডি মেসেজ করে পাঠান।,স্প্যাম
রেডমি নোট ৭ প্রো পাচ্ছেন একদম ফ্রী! আপনার ভোটার আইডি আর ইমেইল পাঠান আর আমরা চলে যাবো আপনার ঠিকানায়।,স্প্যাম
কাল নতুন কিছু খাই চল নতুন রেস্তোরাঁ খুলসে শুনলাম!,হ্যাম
বাবা নতুন মোবাইল কিনে দিসে।,হ্যাম
ফেসবুক আইডি হ্যাক হয়েছে। আপনার আইডিতে থাকা ইমেইল আর মোবাইল নাম্বার সেন্ড করুন।,স্প্যাম
বিদেশে যেতে পারবেন বিনামূল্যে! আপনার সিজিপিএ আর জন্ম নিবন্ধন এর ছবি মেইল করুন। নিশ্চিত করে আপনাকে রিপ্লাই দেয়া হবে।,স্প্যাম
সল্পমূল্লে বিদেশে এমএসসি করতে যেতে পারবেন। যদি সিজিপিএ ৩.৫ এর উপড়ে হয় চলে আসুন আজই।,হ্যাম
ছুটি উপভোগ করুন ফ্রী তেই। রেজিষ্ট্রেশন করতে মোবাইল নাম্বার আর ফেসবুক আইডি দিয়ে কন্টেক্ট করুন।,স্প্যাম
ফেসবুক এ ফ্রী লাইক পেতে অগ্রিম টাকা দিয়ে রেজিষ্ট্রেশন করুন।,স্প্যাম
অন্যের আইডি হ্যাক করতে পারবেন ফ্রী তেই। মেসেজ পাঠান এই নাম্বারে।,স্প্যাম
আপনার লোকেশন ট্র্যাক না হোক এজন্য আজই ইন্সটল করুন এই এপ্লিকেশনটি।,স্প্যাম
আর্জেন্ট ০১৭১৪২৬৫২৭২ নাম্বারে কল দিন। খুব দরকার!,স্প্যাম
বনানীতে এই বাড়িটি দীর্ঘদিন পড়ে আছে। অর্ধমূল্ল্যা কিনতে মেসেজটির রিপ্লাই দিন।,স্প্যাম
হাজার টাকা ফ্রীতে শপিং করতে ৫০ টাকা বিকাশ করুন।,স্প্যাম
আমদের আউটলেটে একটি মেকাপ বক্স কিনলে পাচ্ছেন আরেকটি একদম বিনামূল্যে!,হ্যাম
ফ্রী ফোন পেতে এই নাম্বারে কল করুন।,স্প্যাম
আম্মু ক্লাস আছে। আসতে দেরি হলে চিন্তা করো না।,হ্যাম
৬টি উপায়ে পেতে পারেন ৩ লক্ষ টাকা। এই সাইটে ফ্রী রেজিষ্ট্রেশন করুন।,স্প্যাম
আমি মি. তমাল। সিএসসি ইঞ্জিনিয়ার এবং আপনার সাথে মিটিং করে কিছু গুরুত্বপূর্ণ প্রোজেক্ট করতে চাই।,স্প্যাম
কাল অফিসে মিটিং অনুষ্ঠিত হবে ১২ ঘটিকায়।,হ্যাম
রিসার্চ পেপার লিখতে অনেক পেপার পড়তে হয়।,হ্যাম
রিসার্চ পেপার ফ্রী তে লিখতে এই সাইটে ক্লিক করুন।,স্প্যাম
আমদের কাস্টমার কেয়ার সেন্টার ২৪ ঘন্টা সার্ভিস দেয়।,হ্যাম
আমাদের কাস্টমার কেয়ার থেকে সুবিধা পেতে অগ্রিম টাকা দিয়ে রেজিষ্ট্রেশন করুন এইখানে।,স্প্যাম
ল্যাপটপ এর নতুন ফিচার সম্পর্কে জানতে আগ্রহী হলে সাইটটিতে ঘুরে আসুন।,হ্যাম
ল্যাপটপ এর মডেল ও নতুন ফিচার জানতে এই মেইলের উত্তর দিন।,স্প্যাম
বাংলা ডেটাসেট গুগল ট্রানস্লেটরে বানানো খুব মুশকিল।,হ্যাম
বাংলা ডেটাসেট বানিয়ে দেয়া হবে এই মেইলে রিপ্লাই দিন।,স্প্যাম
ফ্রি রেডমি নোড-৭ প্রো পেতে আগামীকাল এর মধ্যে ০৮০০০০৬৩৭৫ নম্বরের রকেট একাউন্টে ১০০ টাকা পাঠান।,স্প্যাম
কেমন আছো?,হ্যাম
আসসালামু আলাইকুম।,হ্যাম
আজ গরম ৩১ ডিগ্রি সেলসিয়াস থাকবে।,হ্যাম
ভালো আছেন?,হ্যাম
ভার্সিটিতে কাল ম্যাশিন লার্নিং ক্লাস আছে।,হ্যাম
আপনার শরীর ভালো?,হ্যাম
ইন্টারে 'হৈমন্তি' গল্পটি বেশ ভালো লেগেছিল।,হ্যাম
০১৭৭৩১৫৮৪৩৫১ এই নম্বরটিতে ৫০ টাকা ফ্লেক্সি করলেই পাচ্ছেন ১০০ টাকা ক্যাশব্যাক।,স্প্যাম
ফ্রি মোবাইল হেডফোন পাচ্ছেন ৫০ টাকা ফ্লেক্সি করেই।,স্প্যাম
আপনার বাড়ি কোথায়?,হ্যাম
কাল ১২ টায় দেখা হবে।,হ্যাম
এই সেমিস্টারটা অনেক খারাপ যাচ্ছে!,হ্যাম
০১৭৫২৭৫৩৬৫ এই নম্বর ১০০০ বোনাস পয়েন্ট পেয়ে ১ কোটি টাকা জিতেছে টাকা নিতে কল করুন এই ০৬২৬২৬৩৩৬২৬ নাম্বারে।,স্প্যাম
আপনার মোবাইল নম্বর ১২০০ ডলার জিতেছে।,স্প্যাম
ফ্রি তে টি-শার্ট জিতুন মাত্র ১০ টাকা ডোনেট করে।,স্প্যাম
ফুচকা খেতে ইচ্ছে করছে।,হ্যাম
কাল বাবা শপিং করতে নিয়ে যাবে।,হ্যাম
কি ভাবছো?,হ্যাম
রাতে খাবারে বিরিয়ানি আছে।,হ্যাম
পাইথন নতুন ভার্সন আসছে।,হ্যাম
আমাদের আউটলেটে ১০ টাকায় লটারি কিনে পাচ্ছেন ১০ লক্ষ টাকা জেতার অফার।,স্প্যাম
বিকেলে কল দিচ্ছি  এখন ব্যাস্ত।,হ্যাম
দাবা খেলায় খুব মজা।,হ্যাম
স্যার কাল এসাইনমেন্ট দিয়েছেন।,হ্যাম
ইডাব্লু.কম থেকে ৫০ হাজার টাকা ফ্রি স্টুডেন্ট স্কলারশিপ এর অফার আছে ১০০ টাকায় রেজিস্ট্রেশন করুন।,স্প্যাম
না আমি যাবো না।,হ্যাম
নামাজ পড়তে হবে।,হ্যাম
হুম।,হ্যাম
নতুন বছরে ফ্রি ট্রিপ পেতে মাত্র ১০০ টাকা ফ্লেক্সি পাঠান আমাদের নম্বরে।,স্প্যাম
আজ আবহাওয়া ভালো ছিলো।,হ্যাম
কাল পাবনা যাবো।,হ্যাম
বাংলাদেশের প্রাকৃতিক সম্পদ অনেক। হ্যাম
আম্মু আজ বিরিয়ানি রান্না করছে।,হ্যাম
ফ্রি এসাইনমেন্ট করে দেয়া হয় ০১৮৩৮৩৬৩৭৩ নাম্বারে ১০০ টাকা বিকাশ কিরে রেজিস্ট্রেশন করুন।,স্প্যাম
শীতে ভাপা পিঠা ভালো লাগে।,হ্যাম
নতুন নতুন অফার পেতে সাবস্ক্রাইব করুন মেসেজ পাঠিয়ে।,স্প্যাম
আপনাকে অভিনন্দন। আপনার মোবাইল নাম্বার ৫০ হাজার টাকা লটারি জিতেছে।,স্প্যাম
৫০% ডিসকাউন্ট পাচ্ছেন ৫০ টাকা বিকাশ করলে।,স্প্যাম
বাংলা এসাইনমেন্ট আছে।,হ্যাম
বাংলা লিপি হল একটি লিখন পদ্ধতি।,হ্যাম
বাংলা লিপির গঠন তুলনামূলকভাবে কম আয়তাকার ও বেশি সর্পিল।,হ্যাম
বাংলা লিপি বাংলাদেশ ও ভারতে সরকারী লিপির পদমর্যাদা স্থানে আছে।,হ্যাম
ইংরেজির তুলনায় বাংলা হরফের আকার ছিল বেশ বড়।,হ্যাম
ঈশ্বরচন্দ্র বিদ্যাসাগর ১৮৪৭ খ্রিষ্টাব্দে সংস্কৃত কলেজের অধ্যাপনা ছেড়ে দিয়ে জীবিকা অর্জনের জন্য একটি ছাপাখানা খোলেন।,হ্যাম
বিদ্যাসাগরের সংস্কারগুলি সম্পূর্ণ সঙ্গতিপূর্ণ ছিল না।,হ্যাম
এই লিংকে ক্লিক করবেন না "টাকা.কম"।,স্প্যাম
পৃথিবীতে অসংখ্য খারাপ মানুষ আছে কিন্তু একজনও খারাপ বাবা নেই।,হ্যাম
একজন মানুষকে সত্যিকারভাবে জানার উপায় হচ্ছে তার স্বপ্নটা জানা।,হ্যাম
"টাকাআয়.কম" লিংকে ক্লিক কিরবেন না।,স্প্যাম
মানুষ মিথ্যা কথা বলে প্রয়োজনে এবং স্বার্থের কারনে।,হ্যাম
বিভিন্ন ক্ষুদ্র ক্ষুদ্র অঞ্চলের জনগণ নিজ নিজ অঞ্চলের ভাষায় কথা বলে।,হ্যাম
সাধু রীতি নাটকের সংলাপ ও বক্তৃতার অনুপযোগী।,হ্যাম
চলিত রীতি পরিবর্তনশীল।,হ্যাম
বাংলা সাহিত্যের এক বিষ্ময় প্রতিভার নাম কাজী নজরুল ইসলাম |,হ্যাম
নিজের পরিচিতি দিন নাহলে মোবাইল নাম্বারটি ব্লক করা হবে।,স্প্যাম
বিদ্রোহী কবি কাজী নজরুলের জন্ম হয় ২৪শে মে ১৮৯৯ সালে বর্ধমান জেলার আসানসোল মহকুমার অন্তর্গত চুরুলিয়া গ্রামে |,হ্যাম
তিনি দুই ধর্মকেই সমানভাবে শ্রদ্ধা করতেন।,হ্যাম
১৯১০ সালে নজরুল ইসলাম পুনরায় শিক্ষাজীবনে ফিরে যান।,হ্যাম
এই নম্বর এ পূর্বেও কন্টেক্ট করা হয়েছে ২০০ ডলার নিতে টেক্সট দিন।,স্প্যাম
গ্রেগরীয় বর্ষপঞ্জি অনুসারে বাংলাদেশের প্রতি বছর ১৪ই এপ্রিল এই উৎসব পালিত হয়।,হ্যাম
বাংলা একাডেমী কর্তৃক নির্ধারিত আধুনিক বাংলা পঞ্জিকা অনুসারে এই দিন নির্দিষ্ট করা হয়েছে।,হ্যাম
আপনি ৫০০ ডলার ক্যাশব্যাক পাচ্ছেন।,স্প্যাম
একুশে ফেব্রুয়ারি বাংলাদেশের জনগণের গৌরবোজ্জ্বল একটি দিন।,হ্যাম
২০১০ খ্রিষ্টাব্দে জাতিসংঘ কর্তৃক গৃহীত সিদ্ধান্ত মোতাবেক প্রতিবছর একুশে ফেব্রুয়ারি।,হ্যাম
বিশ্বব্যাপী আন্তর্জাতিক মাতৃভাষা দিবস পালন করা হয়।,হ্যাম
১৯৪৮ সালের মার্চে এ নিয়ে সীমিত পর্যায়ে আন্দোলন।,হ্যাম
একুশে ফেব্রুয়ারির এই ঘটনার মধ্য দিয়ে ভাষা আন্দোলন আরও বেগবান হয়।,হ্যাম
১৯৮৭ সালের ২৬ ফেব্রুয়ারি জাতীয় সংসদে 'বাংলা ভাষা প্রচলন বিল' পাশ হয়।,হ্যাম
১০০০০ টাকার ড্রেস ফ্রি ৩০০ বিকাশ করুন।,স্প্যাম
নববর্ষের সময় বাংলাদেশে মঙ্গল শোভাযাত্রার আয়োজন করা হয়।,হ্যাম
পহেলা বৈশাখ রাত ১২ টা থেকে শুরু না হয়ে সূর্যোদয় থেকে শুরু এ নিয়ে ভিন্নমত রয়েছে।,হ্যাম
আকবরের সময়কাল থেকেই পহেলা বৈশাখ উদ্‌যাপন শুরু হয়।,হ্যাম
হালখাতার দিনে দোকানদাররা তাদের ক্রেতাদের মিষ্টান্ন দিয়ে আপ্যায়ন করে থাকে।,হ্যাম
বাংলা সনের মূল নাম ছিল তারিখ-এ-এলাহী।,হ্যাম
বিকাশ একাউন্ট সচল রাখতে পিন নাম্বার পাঠান এই নাম্বারে।,স্প্যাম
আধুনিক নববর্ষ উদযাপনের খবর প্রথম পাওয়া যায় ১৯১৭ সালে।,হ্যাম
১৯৮৭ সালে আনুষ্ঠানিকভাবে বাংলাদেশে এই দিনপঞ্জি গ্রহণ করা হয়।,হ্যাম
১৯৫২ সালে মেঘনাদ সাহাকে ভারত সরকার পঞ্জিকা সংস্কারের দায়িত্ব দেন৷,হ্যাম
১৯৬৩ সালে বাংলা একাডেমি ড. শহীদুল্লাকে সভাপতি করে পঞ্জিকা সংস্কার শুরু করে৷,হ্যাম
মেঘনাদ সাহার সময়েই একবার পঞ্জিকা সংস্কার হয়েছিল৷,হ্যাম
বঙ্গাব্দ চালু হয়েছিল ফসলি সন হিসেবে৷,হ্যাম
২১ ফেব্রুয়ারির বইমেলাও উৎসবে পরিণত হয়েছে৷,হ্যাম
প্রতিদিন টাক আয় করতে এই নাম্বারে ফ্লেক্সি করুন ১০০ টাকা।,স্প্যাম
শুভ নববর্ষ।,হ্যাম
নতুন বছরের শুভেচ্ছা।,হ্যাম
শুভ জন্মদিন।,হ্যাম
ক্লাস কয়টায়?,হ্যাম
কাল ক্লাস হবে  দেড় টায়।,হ্যাম
বিদেশে কম টাকায় যেতে এই নাম্বারে যোগাযোগ করুন।,স্প্যাম
প্রোগ্রামিং ভাষা হচ্ছে এক ধরনের ভাষা যা দিয়ে কম্পিউটার প্রোগ্রাম লেখা যায়।,হ্যাম
প্রোগ্রামিং ভাষাগুলো কম্পিউটারকে নির্দেশ দেওয়ার জন্য ব্যবহৃত হয়।,হ্যাম
প্রোগ্রামিং ভাষাতে সম্পূর্ণতা ও নির্ভুলতার মূল্য দেয়া হয়।,হ্যাম
কম্পিউটার কেবল তা-ই পালন করে যা তাকে নির্দেশ দেয়া হয়।,হ্যাম
অনেক প্রোগ্রামিং ভাষা একেবারে শূন্য থেকে নকশা করা হয়েছে।,হ্যাম
মানুষ তার শৈশব বেশি ভালবাসে।,হ্যাম
বাংলীরা ভাত খায়।,হ্যাম
ডাল খুব উপমারী।,হ্যাম
ছোট মাছ চোখের জন্য ভালো।,হ্যাম
হ্যাকিং শিখুন ফ্রিতে রেজিষ্ট্রেশন করতে টেক্সট ব্যাক করুন।,স্প্যাম
ফ্রি নতুন ফোন ফ্রি পেতে বিকাশ করুন এই নাম্বারে।,স্প্যাম
নিয়তই প্রোগ্রামিং ভাষাগুলোর উন্নতিসাধন করার চেষ্টা চলে।,হ্যাম
প্রোগ্রাম-লেখকদের পছন্দেরও ব্যাপার আছে।,হ্যাম
একেবারে শুরুর দিককার প্রোগ্রামিং ভাষাগুলো কম্পিউটারের হার্ডওয়্যারের সাথে খুবই ঘনিষ্ঠভাবে জড়িত ছিল।,হ্যাম
এর সুফল নিয়েও বিতর্ক আছে।,হ্যাম
কোন প্রোগ্রামিং ভাষার বাইরের রূপকে তার সিনট্যাক্স বলা হয়।,হ্যাম
ডেনিস রিচি কর্তৃক বেল ল্যাবে ৭০ দশকে তৈরি হওয়া ভাষাটির উদ্দেশ্য ছিল ইউনিক্স অপারেটিং সিস্টেম-এর কোড লেখা যা এখন সবচেয়ে বহুল ব্যবহৃত ভাষা।,হ্যাম
বাগানে ফুলগুলো সুন্দর।,হ্যাম
আকাশে পাখি উড়ছে।,হ্যাম
আপনার বিকাশ একাউন্ট বন্ধ করে দেয়া হবে সচল রাখতে বিকাশ করুন এই নাম্বারে।,স্প্যাম
বর্তমানে যেকোন ইঞ্জিনিয়ারিং বিভাগের জন্য মেশিন লার্নিং একটি গুরুত্বপূর্ণ বিষয় হয়ে দাঁড়িয়েছে।,হ্যাম
মেশিন লার্নিং আসলে অনেক বিস্তৃত একটি বিষয়।,হ্যাম
মেশিন লার্নিং শেখার জন্য সায়েন্স ব্যাকগ্রাউন্ড হলে খুবই ভাল।,হ্যাম
প্রতিদিন ফ্রি টাকা পেতে রেজিস্ট্রার করুন ১২৩৪ এ।,স্প্যাম
এই বইটি মূলত স্বেচ্ছাশ্রমে লেখা এবং বইটি সম্পূর্ন ওপেন সোর্স ।,হ্যাম
উনি সাস্টের ছাত্র থাকাকালীন সময়েই দারুণ প্রোগ্রামার ছিলেন।,হ্যাম
এটা একটা সফটওয়ার কোম্পানি।,হ্যাম
আমি বিগ ডেটা নিয়ে কাজ করি।,হ্যাম
বিগ ডেটা এক ধরণের বাজওয়ার্ড বলতে পারো।,হ্যাম
আমার চাকুরী জীবন শুরু এ মাইক্রোসফটে।,হ্যাম
বড় কম্পানী এবং ছোট স্টার্ট-আপ কম্পানীর কালচার সম্পূর্ণ ভিন্ন।,হ্যাম
আর টেক কম্পানী এবং ফাইনানশিয়াল কম্পানীর কালচারও অনেক ভিন্ন।,হ্যাম
মাইক্রোসফট হচ্ছে সফটওয়ার নিয়ে যারা কাজ করতে চায় তাদের জন্যে স্বর্গ রাজ্য।,হ্যাম
ওরা ট্রিলিয়ন ট্রিলিয়ন ডলার হ্যান্ডল করে।,হ্যাম
মানে লস খাত।,হ্যাম
ব্রেইন সুস্থ না থাকা মানে হচ্ছে মানসিক ব্যাধি!,হ্যাম
আপনার মোবাইলটি ফ্রি সিমকার্ড জিতেছে নাম-ঠিকানা পাঠাতে এখনই এসএমএস করুন।,স্প্যাম
স্কুলের লেখাপড়ার প্রভাব বলার চেয়ে স্কুলজীবনের প্রভাব বলাটা মনে হয় বেশি যুক্তিসঙ্গত।,হ্যাম
প্রোগ্রামিং এ খুব ভালো হবার জন্যে প্র্যাকটিস করে যেতে হবে।,হ্যাম
প্র্যাকটিস করার জন্যে কয়েক লক্ষ আইডিয়া আছে।,হ্যাম
আমি নিজে কোর্সেরা থেকে কয়েকটি কোর্স করেছি।,হ্যাম
সেই আগ্রহ থেকেই শেখার ব্যাপারটা সহজ হয়ে যায়।,হ্যাম
বিশ বছর একটা বড় সময়।,হ্যাম
প্রতিদিন লাভ মেসেজ পেতে কল করুন ৬৩৮৩৫৩৭৩৬ নাম্বারে।,স্প্যাম
ইংরেজীতে ভালো না হলে সফটওয়ার কেনো কোনো কিছুতেই আন্তর্জাতিক বাজার ধরা যায়না।,হ্যাম
আমাদের একটা দুইটা বই বাংলায় হলে উল্টো আমাদের ক্ষতি হবে।,হ্যাম
বাইরের বিখ্যাত বইগুলো চাইনিজ ভাষায় অনুবাদ করে নেয়।,হ্যাম
আমি পাইথনের বেসিক জিনিস জানি।,হ্যাম
ডেটা স্ট্রাকচার মোটামুটি জানি।,হ্যাম
০৭৩৭৩৬৩৭৩৭ নাম্বারে কল করে লুফে নিন নতুন হ্যান্ডসেট।,স্প্যাম
প্রকৃতির পালাবদলের হাওয়ায় শীত আসে রিক্ততা আর শূন্যতার ডালি নিয়ে।,হ্যাম
ফসলহীন মাঠে পাতাঝরা শূন্য গাছ-প্রকৃতি যেন শূন্যতার বসন পড়েছে।,হ্যাম
কতটা বেলা হলো বোঝার উপায় নেই।,হ্যাম
যতদূর দৃষ্টি যায় ধোঁয়াটে আবছা অন্ধকার।,হ্যাম
মনে হয় রাত বুঝি বা শেষ হয়নি এখনও।,হ্যাম
রকেটে ফ্রি ৫০ টাকা পেতে রেজিস্ট্রার করুন এখানে।,স্প্যাম
গ্রামের চেয়ে শহরে শীতের দাপট কম।,হ্যাম
তাই শীত সকল বাঙ্গালির জীবনে স্মৃতিময় হয়ে থাকে।,হ্যাম
শীতের সকালের স্থায়িত্ব ক্ষনিকের।,হ্যাম
তারপরও শীত-সকালের আবেদন কারো কাছেই নিতান্ত তুচ্ছ নয়।,হ্যাম
শীত বাংলা সনের পঞ্চম ঋতু।,হ্যাম
শীতকাল প্রধানত শুষ্ক এবং দিনের তুলনায় রাত হয় দীর্ঘ।,হ্যাম
বাংলাদেশে শীতের সময় খেজুরের রস দিয়ে বিভিন্ন ধরনের পিঠা পায়েস খাওয়া হয় ।,হ্যাম
এ সময় বৃষ্টিপাতের পরিমাণ নগণ্য৷,হ্যাম
বংলা নতুন গানের টিউন ফ্রি সেট করতে কল করুন এই নাম্বারে।,স্প্যাম
আমার নাম ইয়াসমিন।,হ্যাম
সে খুব ভালো ছেলে।,হ্যাম
আল্লাহ ভরসা।,হ্যাম
আমি ভাত খাই।,হ্যাম
তার রান্না খুবই ভালো।,হ্যাম
জানুয়ারীতে বানিজ্য মেলায় ফ্রি সালয়ার কামিজ পান এখনই রেজিষ্ট্রেশন করে।,স্প্যাম
রেস্তোরাঁটা ভালো।,হ্যাম
নান-পরটা অনেক মজার।,হ্যাম
কাচ্চি বিরিয়ানি আম্মুর অনেক পছন্দ।,হ্যাম
বাবা আজ বাজার করেছে।,হ্যাম
বানিজ্য মেলায় আপনি জিতেছেন ফ্রি মোবাইল ফোন বিস্তারিত জানতে কল করুন।,স্প্যাম
কথাসাহিত্যিক শরৎচন্দ্রের ইচ্ছার অনেকটা অমতেই জন্ম পথের দাবীর।,হ্যাম
বিতর্কের মধ্য দিয়ে পথ চলা শুরু হলেও সাধারণ পাঠকের কাছে গ্রহণ মান কমেনি উপন্যাসটির।,হ্যাম
বঙ্গবাণী পত্রিকার মালিক কাগজে ছাপার জন্যে নতুন লেখার সন্ধানে আসেন শরৎচন্দ্রের কাছে।,হ্যাম
কিন্তু লেখক নতুন কোনো লেখা নেই বলে বিদায় করে দেন।,হ্যাম
শরৎচন্দ্রের সময়টা ছিল বৃটিশ শাসিত।,হ্যাম
তারই তো প্রতিচ্ছবি পথের দাবী।,হ্যাম
শরৎচন্দ্রের এই ভাবমূর্তি দেখা যায় মূল চরিত্র সব্যসাচীর মাধ্যে।,হ্যাম
তিনিই এই বিপ্লবের নায়ক।,হ্যাম
সবচেয়ে খারাপ অবস্থান এই সাধারণ জনগণেরই।,হ্যাম
অসম্ভব সাহসী বুদ্ধিমতী চৌকস একজন নারী।,হ্যাম
নানা বন্ধুর পথ পেরিয়ে চলা পথের দাবীর।,হ্যাম
তা যেন মানুষ ভুলে গেছে।,হ্যাম
আপনার সাথে দেখা হলে ৫০০০০ নগদ পাবেন কল দিন।,স্প্যাম
আপনি পাচ্ছেন ১ কোটি টাকা।,স্প্যাম
কি করছো?,হ্যাম
আলহামদুলিল্লাহ।,হ্যাম
বিসমিল্লাহ।,হ্যাম
কেমন আছিস রে?,হ্যাম
কাল ১২ টায় বনানী আসলেই পাবেন ১০ লক্ষ টাকা।,স্প্যাম
বাংলা সাহিত্য অনেক সমৃদ্ধ।,হ্যাম
বংলা অনেক সুন্দর।,হ্যাম
গোলাপ অনেক সুন্দর।,হ্যাম
মালি বাগানে পানি দিচ্ছে।,হ্যাম
বাগানে ফুল হয়েছে অনেক।,হ্যাম